ID,LICENSE ID,LEGAL_NAME,DOING_BUSINESS_AS_NAME,ADDRESS,CITY,STATE,ZIP CODE
2087610-20110518,2087610,"LMP SERVICES, INC.",CUPCAKES FOR COURAGE,110 W PARK AVE,ELMHURST,IL,60126
2060558-20110524,2060558,"BERGSTEIN'S NY DELICATESSEN, LLC","BERGSTEIN'S NY DELICATESSEN, LLC",200  DIXIE HWY 1ST F,CHICAGO HEIGHTS,IL,60411
2037166-20120616,2151139,ABUNDANT FOOD INCORPORATED,ABUNDANT RESTAURANT,17429  CENTER ST,EAST HAZEL CREST,IL,60429
2141634-20120329,2141634,"BUDDY'S SPECIAL EVENTS, INC.","BUDDY'S SPECIAL EVENTS, INC.",900  GLENCOE TER,LAKE ZURICH,IL,60047
2142274-20120521,2142274,K INTERCONTINENTAL RESTAURANT/BAR INC.,K I BAR & RESTAURANT,417 S BARTLETT RD,STREAMWOOD,IL,60107
2021564-20110716,2097830,CHERYL L SMITH,CHERYL L SMITH,250 1/2  CHICAGO AVE,OAK PARK,IL,60302
2114284-20120418,2114284,LET' S EAT VENTURES LLC,SAMICH BOX,6233 W ROOSEVELT RD,BERWYN,IL,60402
2108825-20110810,2108825,Eirgo Inc,Homage Street Food,6873 N MILWAUKEE AVE,NILES,IL,60714
2110016-20111005,2110016,PECAN AND CHARLIE'S MOBILE CUPCAKERY LLC,PECAN AND CHARLIE'S MOBILE CUPCAKERY LLC,26  CALENDAR AVE,LA GRANGE,IL,60525
2124638-20111102,2124638,"STEAKW' CH, INC.","STEAKW' CH, INC.",67  EISENHOWER LN SOUTH  1ST,LOMBARD,IL,60148
2103981-20110816,2103981,"SWEETIE CAKES , INC.",SWEETIE CAKES,14911  BELL RD,HOMER GLEN,IL,60491
2133782-20120109,2133782,"GIAVIA SWEETS, LLC",GIAVIA SWEETS,1448  GLENCOE AVE,HIGHLAND PARK,IL,60035
2147045-20120405,2147045,"SOUPS IN THE LOOP, LLC",SOUPS IN THE LOOP,2777  MANNHEIM RD,DES PLAINES,IL,60018
2896060-20230525,2896060,"CRJ ENTERPRISES, LLC",FS FOOD GROUP LLC,135 N KEDZIE AVE,CHICAGO,IL,60612
2495679-20161128,2495679,"CARNITAS,CHELAS AND CHICAS COMPANY #11",PALETERIA Y NEVERIA LA MEXICANA YOGURT AND CHURRO SHOP LTD.,4171 S ARCHER AVE 1,CHICAGO,IL,60632
2641551-20190426,2641551,ERNESTO OZUNA,TAMALES Y RESTAURANT COSTA,10148 S EWING AVE,CHICAGO,IL,60617
2541791-20180529,2541791,WRAP TRUCK LLC,WRAP IT UP,2300 S THROOP ST,CHICAGO,IL,60608
2211595-20170316,2509713,"PALETERIA BELMONT, INC.",ARCO IRIS,2950 W BELMONT AVE 1 1,CHICAGO,IL,60618
2314224-20140311,2314224,NEIGHBOR CAPITAL LLC,Neighbor Capital,20 W VAN BUREN ST,CHICAGO,IL,60605
2252826-,2252826,RAUL MARTINEZ,PALETERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2827287-20230716,2910296,ALEX'S CATERING CORP,ALEX CATERING,1204 W 36TH PL,CHICAGO,IL,60609
2528402-20170518,2528402,"KATE & JAN, CORP.",KATE & JAN HOT DOGS,324 N LEAVITT ST,CHICAGO,IL,60612
2738073-20230716,2910299,ALEX'S CATERING CORP,ALEX'S CATERING,1204 W 36TH ST,CHICAGO,IL,60609
2211468-20121229,2211468,"ISLA TROPICAL, INC.",ISLA TROPICAL,2335 N CICERO AVE,CHICAGO,IL,60639
2252804-20140316,2314993,RAUL MARTINEZ,PALETEIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2641558-20191016,2687378,ERNESTO OZUNA,TAMALES Y RESTAURANT COSTA,10148 S EWING AVE,CHICAGO,IL,60617
2211455-20150916,2414786,"ISLA TROPICAL, INC.",ISLA TROPICAL,2335 N CICERO AVE,CHICAGO,IL,60639
2245995-20130816,2268876,"PALETERIA OSO POLAR, INC.",PALETERIA OSO POLAR,6538 N CLARK ST 1 1,CHICAGO,IL,60626
2938487-20231221,2938487,"TAMALES DONA CONCHA CORP.,",TAMALES Y TACOS DONA CONCHA,2300 S THROOP ST,CHICAGO,IL,60608
2689016-20190830,2689016,ESTHER'S ICE CREAM LLC,ESTHER'S ICE CREAM,324 N LEAVITT ST,CHICAGO,IL,60612
2333493-20150902,2333493,TAQUERIA LOS PATRONCITOS CO.,LA PATRONA,2637 S THROOP ST,CHICAGO,IL,60608
2211539-20131216,2292393,"PUEBLA ICE CREAM, INC.",PUEBLA ICE CREAM,4601 N ELSTON AVE 1,CHICAGO,IL,60630
2211523-20150916,2416312,JUAN MONTOYA,FRUTYLAND,4610 N KEDZIE AVE 1ST,CHICAGO,IL,60625
2252825-,2252825,RAUL MARTINEZ,PALETERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2470451-20240516,2959907,YOLIS TAMALES LLC,YOLIS TAMALES,5002 S WESTERN AVE 1ST,CHICAGO,IL,60609
2583488-20190726,2583488,CARMEN NAVA-NAJERA,CARMEN NAVA,3654 W 16TH ST 1ST,CHICAGO,IL,60623
2608405-20180719,2608405,"ITSAPOP, LLC","ITSAPOP, LLC",324 N LEAVITT ST  100,CHICAGO,IL,60612
2601323-20180717,2601323,"CHICAGO RIVERWALK VENTURES, LLC",CHICAGO RIVERWALK VENTURES,617  CENTRAL AVE,HIGHLAND PARK,IL,60035
2232101-20150516,2389432,"TAQUERO FUSION, INC.",TAQUERO FUSION,7770  FRONTAGE RD,SKOKIE,IL,60077
2484001-20170210,2484001,"BAKE ME OFF A PIECE OF THAT, LLC","BAKE ME OFF A PIECE OF THAT, LLC",324 N LEAVITT ST,CHICAGO,IL,60612
2211538-20151216,2430945,"PUEBLA ICE CREAM, INC.",PUEBLA ICE CREAM,4601 N ELSTON AVE 1,CHICAGO,IL,60630
2385750-20190716,2668015,ANDRES QUILES ROJAS,MR. QUILES MEXICAN FOOD #2,2300 S THROOP ST,CHICAGO,IL,60608
2827297-20230716,2910298,ALEX'S CATERING CORP,ALEX CATERING,1204 W 36TH PL,CHICAGO,IL,60609
2211639-20121229,2211639,"NEXT STEP COMMUNICATIONS, INC.",SWEET SPOT MACARONS,5740 N MILWAUKEE AVE 1 1,CHICAGO,IL,60646
2252826-20180316,2575850,RAUL MARTINEZ,PALETERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2256463-20210616,2784042,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2374016-20151202,2374016,ANTHONY D HALEY,AUGUST VIANDS,324 N LEAVITT ST,CHICAGO,IL,60612
2446963-20170616,2527517,THE HAPPY LOBSTER LLC,THE HAPPY LOBSTER,2300 S THROOP ST,CHICAGO,IL,60608
2211329-20130316,2226270,RAFAEL MAGALLON,RAFAEL MAGALLON,2215 S KEDZIE AVE,CHICAGO,IL,60623
2252824-20140316,2314987,RAUL MARTINEZ,PALETERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2428909-20151216,2428909,RAUL A. TORRES,PAUL'S CATERING,2637 S THROOP ST,CHICAGO,IL,60608
2256486-20150616,2396303,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2211466-20170916,2545472,"ISLA TROPICAL, INC.",ISLA TROPICAL,2335 N CICERO AVE,CHICAGO,IL,60639
2850523-20240123,2850523,MARIA G. NAVARRO,PALETERIA COCKTAILS TROPICALES,4282 S ARCHER AVE,CHICAGO,IL,60632
2211323-20150316,2375521,RAFAEL MAGALLON,RAFAEL MAGLLOM,2215 S KEDZIE AVE,CHICAGO,IL,60623
2256382-20210616,2784038,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2822869-20220110,2822869,VESSEL IL OPERATIONS LLC,Wendy's by REEF,135 N KEDZIE AVE,CHICAGO,IL,60612
2211452-20140216,2300947,STEVE THOMAS,STEVE'S 77 ICE CREAM,5350 W 38TH ST,CICERO,IL,60804
2781265-20210416,2781265,TASTY CHICAGO LLC,TASTY CHICAGO LLC,135 N KEDZIE AVE,CHICAGO,IL,60612
2211530-20150916,2416319,JUAN MONTOYA,FRUTYLAND,4610 N KEDZIE AVE 1,CHICAGO,IL,60625
2252703-20130722,2252703,FELICIANO CORREA & RIGOBERTO CORREA-CORTES,PALETERIA REYNA DEL SUR,3719 E 106TH ST,CHICAGO,IL,60617
2211635-20121229,2211635,"BEYOND BORDERS FUSION FOOD, LLC","BEYOND BORDERS FUSION FOOD, LLC",2443 W 16TH ST,CHICAGO,IL,60608
2211516-20130716,2260444,ALBERTA GOODSON,BEE'S ICE CREAM,6324 S EBERHART AVE 1,CHICAGO,IL,60637
2405147-20151016,2422288,NOURISH FOODS GROUP LLC,KIM AND SCOTT'S CRAVE BAR,2950 N OAKLEY AVE,CHICAGO,IL,60618
2457886-20160808,2457886,BIG WORLD'S LLC,BIG WORLD'S LLC,2300 S THROOP ST,CHICAGO,IL,60608
2256465-20150616,2396290,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2252813-20180316,2575840,RAUL MARTINEZ,PALETERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2496319-20170609,2496319,HECTOR HERNANDEZ,HECTOR'S CATERING,1204 W 36TH PL,CHICAGO,IL,60609
2294403-20131127,2294403,EDGAR MARTINEZ,PALETERIA LA MORELIA,3108 W CERMAK RD,CHICAGO,IL,60623
2245951-20130405,2245951,"PALETERIA OSO POLAR, INC.",PALETERIA OSO POLAR II,6538 N CLARK ST 1,CHICAGO,IL,60626
2211342-20130516,2241674,FELIPE BENITEZ,PHILLIP'S ICE CREAM,2113 N MAJOR AVE 1ST,CHICAGO,IL,60639
2211410-20121229,2211410,MARIA O MORENO,PALETERIA ALEX,5420 W FULLERTON AVE,CHICAGO,IL,60639
2600761-20180619,2600761,INDIAN FOOD CATERING INC.,INDIAN FOOD ON WHEELS,324 N LEAVITT ST,CHICAGO,IL,60612
2211458-20121229,2211458,"ISLA TROPICAL, INC.",ISLA TROPICAL,2335 N CICERO AVE,CHICAGO,IL,60639
2252831-,2252831,RAUL MARTINEZ,PALETERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2775946-20220217,2775946,L AND J FOOD FOR THE SOUL LLC,L AND J FOOD FOR THE SOUL LLC,135 N KEDZIE AVE,CHICAGO,IL,60612
2211287-20121229,2211287,THUNDERBIRD CATERING CO.,THUNDERBIRD CATERNIG CO,1204 W 36TH PL,CHICAGO,IL,60609
2252771-20160816,2472802,"LA AZTECA PALETERIA, INC.",LA AZTECA PALETERIA,3018 W CERMAK RD,CHICAGO,IL,60623
2252760-20160816,2472805,"LA AZTECA PALETERIA, INC.",LA AZTECA PALETERIA,3018 W CERMAK RD,CHICAGO,IL,60623
2262197-20130710,2262197,THE GLADWELL COMPANY,THE GLADWELL COMPANY,324 N LEAVITT ST,CHICAGO,IL,60612
2211423-20121229,2211423,JOSE LOPEZ,PALETERIA JALISCO,4219 N KEDZIE AVE,CHICAGO,IL,60618
2211496-20121229,2211496,PALETERIA AZTECA INC.,PALETERIA AZTECA #2,3119 W CERMAK RD 1ST CART 13,CHICAGO,IL,60623
2678156-20190904,2678156,"RIOPUNKS, LLC",GORDO'S HOMEMADE ICE CREAM BARS,729 S DEARBORN ST,CHICAGO,IL,60605
2232101-20130221,2232101,"TAQUERO FUSION, INC.",TAQUERO FUSION,7770  FRONTAGE RD,SKOKIE,IL,60077
2263235-20140305,2263235,"VALENTINA FOOD TRUCKS, LLC",THE SLIDE RIDE,3006 N ELSTON AVE,CHICAGO,IL,60618
2321266-20150616,2396322,TNI LLC,Rosati's Pizza,4863 N BROADWAY  1ST B,CHICAGO,IL,60640
2956278-20240321,2956278,NATY'S TACOS LLC,NATY'S TACOS,135 N KEDZIE AVE,CHICAGO,IL,60612
2278242-20131204,2278242,"GINO'S STEAKS TRUCK, LLC",GINO'S STEAKS TRUCK,2300 S THROOP ST,CHICAGO,IL,60608
2211383-20121229,2211383,LEONARDO LOPEZ,BAMBI,2051 W 47TH ST,CHICAGO,IL,60609
2369178-20170816,2541170,EXPRESS FOOD TRUCKS LLC,MEDITERRANEAN EXPRESS,2300 S THROOP ST,CHICAGO,IL,60608
2137681-20120916,2176388,FLIRTY CUPCAKES LLC,FLIRTY CUPCAKES,1030 W TAYLOR ST,CHICAGO,IL,60607
2211456-20150916,2414787,"ISLA TROPICAL, INC.",ISLA TROPICAL,2335 N CICERO AVE,CHICAGO,IL,60639
2483952-20200816,2736414,YUM DUM INC.,YUM DUM TRUCK,2300 S THROOP ST 1ST,CHICAGO,IL,60608
2391863-20171216,2562749,"AFTER HOURS PIZZA, LLC",BEAVERS COFFEE & DONUTS,131 N CLINTON ST  24,CHICAGO,IL,60661
2211355-20121229,2211355,FELIPE BENITEZ,PHILLIP'S ICE CREAM,4221 N KEDZIE AVE,CHICAGO,IL,60618
2483952-20220816,2854517,YUM DUM INC.,YUM DUM TRUCK,2300 S THROOP ST 1ST,CHICAGO,IL,60608
2492637-20161011,2492637,YOLIS TAMALES LLC,YOLIS TAMALES,5002 S WESTERN AVE 1ST,CHICAGO,IL,60609
2211541-20151216,2430948,"PUEBLA ICE CREAM, INC.",PUEBLA ICE CREAM,4601 N ELSTON AVE 1ST,CHICAGO,IL,60630
2211654-20121229,2211654,DOKKAEBI TACOS LLC,DOKKAEBI TACOS,324 N LEAVITT ST 2ND,CHICAGO,IL,60612
2374476-20150528,2374476,TONY'S KITCHEN & CO.,MITCH & JOON'S KITCHEN,324 N LEAVITT ST 1ST,CHICAGO,IL,60612
2211465-20121229,2211465,"ISLA TROPICAL, INC.",ISLA TROPICAL,2335 N CICERO AVE,CHICAGO,IL,60639
2671626-20200306,2671626,ALEX'S CATERING CORP,ALEX'S CATERING,1204 W 36TH PL,CHICAGO,IL,60609
2542392-20170817,2542392,ALEX'S CATERING CORP,ALEX'S CATERING,1204 W 36TH PL,CHICAGO,IL,60609
2211415-20130516,2242072,JOSE LOPEZ,PALETERIA JALISCO,4219 N KEDZIE AVE,CHICAGO,IL,60618
2256463-20190616,2670619,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2211603-20121229,2211603,SETH KWASI NYARKO,PALACE GATE AFRICA RESTAURANT,4548 N MAGNOLIA AVE 1ST,CHICAGO,IL,60640
2589677-20180425,2589677,"PALETERIA BAMBI, INC.","PALETERIA BAMBI, INC.",2051 W 47TH ST 1ST,CHICAGO,IL,60609
2314388-20160916,2482224,"AUNTIE VEE'S, INC.",AUNTIE VEE'S CUPCAKES & DESSERTS,1020 W DEVON,ELK GROVE VILLAGE,IL,60007
2211484-20220816,2868416,PALETERIA AZTECA INC.,PALETERIA AZTECA #2,3119 W CERMAK RD 1ST CART 1,CHICAGO,IL,60623
2211290-20130616,2247854,"CARNITAS DON RAFA, INC.",CARNITAS DON RAFA INC,4619 S KEDZIE AVE 1ST,CHICAGO,IL,60632
2211464-20150916,2414795,"ISLA TROPICAL, INC.",ISLA TROPICAL,2335 N CICERO AVE,CHICAGO,IL,60639
2256489-20150616,2396305,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2647118-20190424,2647118,BERT'S JERK GRILL AND SEAFOOD LLC,BERT'S JERK GRILL AND SEAFOOD,324 N LEAVITT ST,CHICAGO,IL,60612
2483306-20210616,2971401,JOSE LUIS SALTO,PALETERIA LOS MAGOS,1700 W 19TH ST 1,CHICAGO,IL,60608
2523116-20170601,2523116,K INTERCONTINENTAL RESTAURANT/BAR INC.,K INTERCONTINENTAL RESTAURANT,951 W WISE RD,SCHAUMBURG,IL,60193
2689015-20230816,2916081,ESTHER'S ICE CREAM LLC,ESTHER'S ICE CREAM,324 N LEAVITT ST,CHICAGO,IL,60612
2211528-20121229,2211528,JUAN MONTOYA,FRUTYLAND,4610 N KEDZIE AVE 1,CHICAGO,IL,60625
2506220-20170112,2506220,"CARNITAS,CHELAS AND CHICAS COMPANY #11",PALETERIA Y NEVERIA LA MEXICANA YOGURT AND CHURRO SHOP LTD.,4171 S ARCHER AVE,CHICAGO,IL,60632
2114399-20110927,2114399,"CARNITAS DON RAFA, INC.",CARNITAS DON RAFA INC,4619 S KEDZIE AVE 1ST,CHICAGO,IL,60632
2211459-20121229,2211459,"ISLA TROPICAL, INC.",ISLA TROPICAL,2335 N CICERO AVE,CHICAGO,IL,60639
2901502-20230518,2901502,LACALACA 22 LLC,LACALACA 22 LLC,135 N KEDZIE AVE,CHICAGO,IL,60612
2496079-20170511,2496079,"THEORY, LLC",Theory Sport.Dine.Lounge,9 W HUBBARD ST 1,CHICAGO,IL,60610
2918009-20231019,2918009,GROSSETT JERK CHICKEN LLC,GROSETT JERK CHICKEN TRUCK,135 N KEDZIE AVE,CHICAGO,IL,60612
2222211-20130718,2222211,"HUSKY HOG BBQ, LLC","HUSKY HOG BBQ, LLC",324 N LEAVITT ST,CHICAGO,IL,60612
2211435-20121229,2211435,"PARS ICE CREAM CO, INC.",PARS ICE CREAM CO. INC.,4825 W ARTHINGTON ST,CHICAGO,IL,60644
2901232-20230504,2901232,T&J FOOD SERVICES LLC,T&J FOOD SERVICES/ SAUSAGE FEST,135 N KEDZIE AVE,CHICAGO,IL,60612
2602214-20180626,2602214,"PUEBLA ICE CREAM, INC.",PUEBLA ICE CREAM,4221 N KEDZIE AVE,CHICAGO,IL,60618
2496636-20190716,2669435,ALEX'S CATERING CORP,ALEX'S CATERING,1204 W 36TH PL,CHICAGO,IL,60609
2211495-20121229,2211495,PALETERIA AZTECA INC.,PALETERIA AZTECA #2,3119 W CERMAK RD 1ST CART 12,CHICAGO,IL,60623
2905935-20230509,2905935,JULIO CESAR QUILES ARETIA,LITTLE TACO CESAR LA GUERITA MEXICAN SNACKS,2300 S THROOP ST,CHICAGO,IL,60608
2256354-20190616,2670624,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2293616-20161016,2486203,FIFTY FOUR ELEVEN LLC,FIFTY FOUR ELEVEN,2850 N CLARK ST,CHICAGO,IL,60657
2254173-20150216,2370585,BOLAT AFRICAN CUISINE INC.,IYANZE,4623-4627 N BROADWAY  1ST,CHICAGO,IL,60640
2405147-20150707,2405147,NOURISH FOODS GROUP LLC,KIM AND SCOTT'S CRAVE BAR,2950 N OAKLEY AVE,CHICAGO,IL,60618
2379930-20150211,2379930,NEIGHBOR CAPITAL LLC,NEIGHBOR CAPITAL LLC,3511 W FILLMORE ST 1ST,CHICAGO,IL,60624
2211525-20121229,2211525,JUAN MONTOYA,FRUTYLAND,4610 N KEDZIE AVE 1,CHICAGO,IL,60625
2211532-20130916,2276314,JUAN MONTOYA,FRUTYLAND,4610 N KEDZIE AVE 1,CHICAGO,IL,60625
2211282-20121229,2211282,THUNDERBIRD CATERING CO.,THUNDERBIRD CATERING,1204 W 36TH PL,CHICAGO,IL,60609
2321041-20140702,2321041,NOURISH FOODS GROUP LLC,KIM AND SCOTT'S CRAVE BAR,7637 S WESTERN AVE,CHICAGO,IL,60620
2087802-20110526,2087802,"BROWN BAG LUNCH TRUCK, LLC","BROWN BAG LUNCH TRUCK, LLC",4019 N DAMEN AVE 1,CHICAGO,IL,60618
2458351-20160509,2458351,TAQUERIA LOS PATRONCITOS CO.,EL PATRON,324 N LEAVITT ST,CHICAGO,IL,60612
2246000-20150816,2409744,"PALETERIA OSO POLAR, INC.",PALETERIA OSO POLAR,6538 N CLARK ST 1 1,CHICAGO,IL,60626
2256546-20170616,2527041,"VPC PIZZA TRUCK I, LLC",GIORDANO'S OF RUSH,730 N RUSH ST,CHICAGO,IL,60611
2211300-20130316,2226180,"PALETERIAS MONARCA, CORP.",PALETERIA MONARCA,6955 N CLARK ST,CHICAGO,IL,60626
2900815-20231130,2900815,BOO-KOOSE JERK TACOS & TOTS LLC,BOO-KOOSE JERK TACOS & TOTS,135 N KEDZIE AVE,CHICAGO,IL,60612
2256476-20130520,2256476,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2211367-20160416,2447972,LEONARDO LOPEZ,BAMBI,2051 W 47TH ST 1ST,CHICAGO,IL,60609
2438187-20160517,2438187,"BIBIMBOP, CORP.",BOP BAR KOREAN FOOD,239  GOLF MILL CENTER  1ST 322,NILES,IL,60714
2211434-20121229,2211434,"PARS ICE CREAM CO, INC.",PARS ICE CREAM CO. INC.,4825 W ARTHINGTON ST,CHICAGO,IL,60644
2791852-20211001,2791852,VESSEL IL OPERATIONS LLC,REEF KITCHENS,135 N KEDZIE AVE,CHICAGO,IL,60612
2608538-20180727,2608538,"MARTINEZ ICE POPS, INC.",ISLA TROPICAL,3736 W LAWRENCE AVE,CHICAGO,IL,60625
2247010-20130816,2268884,"PALETERIA OSO POLAR, INC.","PALETERIA OSO POLAR, INC.",5633 W DIVERSEY AVE 1ST,CHICAGO,IL,60639
2252817-20180316,2575843,RAUL MARTINEZ,PALETERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2631909-20200516,2722510,YOLIS TAMALES LLC,YOLIS TAMALES,5002 S WESTERN AVE,CHICAGO,IL,60609
2211511-20130116,2221427,JOSE OCAMPO,PALETERIA CARRUCEL,6317 W GRAND AVE,CHICAGO,IL,60639
2340340-20140814,2340340,PARIS OUH LALA LLC,PARIS OUH LALA,324 N LEAVITT ST,CHICAGO,IL,60612
2641558-20190426,2641558,ERNESTO OZUNA,TAMALES Y RESTAURANT COSTA,10148 S EWING AVE,CHICAGO,IL,60617
2211487-20140816,2338204,PALETERIA AZTECA INC.,PALETERIA AZTECA #2,3119 W CERMAK RD 1ST CART 4,CHICAGO,IL,60623
2211631-20121229,2211631,"CHICKPEA DELIGHTS, INC.",CHICKPEA DELIGHTS,324 N LEAVITT ST 1ST 100,CHICAGO,IL,60612
2918326-20240123,2918326,MARIA G. NAVARRO,PALETERIA COCKTAILS TROPICALES,4282 S ARCHER AVE,CHICAGO,IL,60632
2419329-20151204,2419329,"MIMI'S CHICAGO HUMBLE PIE, LLC",MIMI'S CHICAGO HUMBLE PIE,2300 S THROOP ST,CHICAGO,IL,60608
2464877-20200516,2722507,YOLIS TAMALES LLC,YOLIS TAMALES,5002 S WESTERN AVE 1ST,CHICAGO,IL,60609
2762854-20210716,2790968,VESSEL IL OPERATIONS LLC,REEF KITCHENS,135 N KEDZIE AVE,CHICAGO,IL,60612
2263359-20130926,2263359,"LMP SERVICES, INC.",CUPCAKES FOR COURAGE,108 W PARK,ELMHURST,IL,60126
2397765-20170816,2541217,"LOOP FOODS, LLC",LOOP JUICE,131 N CLINTON ST  15,CHICAGO,IL,60661
2211623-20121229,2211623,GUILLERMO PENA,MEMO'S FREEZE,8622 S COMMERCIAL AVE 1 1,CHICAGO,IL,60617
2412601-20150723,2412601,"HERITAGE BICYCLES GENERAL STORE, LLC",HERITAGE BICYCLES GENERAL STORE,2959 N LINCOLN AVE GROUND,CHICAGO,IL,60657
2609090-20180724,2609090,INDIAN FOOD CATERING INC.,INDIAN FOOD ON WHEELS,324 N LEAVITT ST,CHICAGO,IL,60612
2385445-20150306,2385445,"PALETERIA CARRUCEL,INC.",PALETERIA CARRUCEL,6317 W GRAND AVE,CHICAGO,IL,60639
2683419-20190828,2683419,STORM ICE CREAM INC.,STORM ICE CREAM INC.,3600 W CHICAGO AVE 1ST,CHICAGO,IL,60651
2103110-20110701,2103110,SAUL MAZON JR.,SAUL MAZON JR.,8501 S COMMERCIAL AVE 1ST,CHICAGO,IL,60617
2647110-20190314,2647110,GORDO TAMALES INC.,GORDO'S TAMALES,2811 W 55TH ST,CHICAGO,IL,60632
2404195-20170316,2509900,"TGL GROUP, LLC",JERK,811 W CHICAGO AVE 1 100,CHICAGO,IL,60642
2256678-20131216,2292767,"AFTER HOURS PIZZA, LLC",BEAVERS COFFEE & DONUTS,131 N CLINTON ST 1ST 24,CHICAGO,IL,60661
2622418-20191016,2686232,TACO MARIO'S LIMITED,TACO MARIO'S LIMITED VIN#5B4HP42V743387087 PL#2386532,2300 S THROOP ST,CHICAGO,IL,60608
2404235-20150707,2404235,"PIEROGI WAGON, LLC",Lucy's,1043 N CALIFORNIA AVE,CHICAGO,IL,60622
2658515-20210416,2775117,ELIZABETH EPORA ABUNAW,FORTY ACRES FRESH MARKET,1510 W GRAND AVE  2W,CHICAGO,IL,60642
2252760-,2252760,"LA AZTECA PALETERIA, INC.",LA AZTECA PALETERIA,3018 W CERMAK RD,CHICAGO,IL,60623
2384856-20191116,2692785,"CAP B, INC.",HAROLD' S CHICKEN # 55,2300 S THROOP ST 1ST,CHICAGO,IL,60608
2152268-20120516,2152268,MILO'S PITA PLACE LTD.,ENEMY KITCHEN,6310 N WESTERN AVE 1ST,CHICAGO,IL,60659
2211303-20150316,2375460,"PALETERIAS MONARCA, CORP.",PALETERIA MONARCA,6955 N CLARK ST,CHICAGO,IL,60626
2283917-20140516,2283917,"YOLO'S FOOD & SNACKS, INC.",YOLO'S FOOD & SNACKS,324 N LEAVITT ST,CHICAGO,IL,60612
2263707-20130613,2263707,OLMAR CORPORATION INC.,CHEESIE'S PUB & GRUB,2300 S THROOP ST,CHICAGO,IL,60608
2211482-20121229,2211482,WOW BAO LLC,WOW BAO,175 W JACKSON BLVD 1ST,CHICAGO,IL,60604
2293537-20140226,2293537,"CHICAGO FRUIT CART, INC.","CHICAGO FRUIT CART, INC.",6316 S ASHLAND AVE,CHICAGO,IL,60636
2522468-20170405,2522468,THE POWERHOUSE ENT. INC,JULIA'S L'AFRIQ CUIZINE,324 N LEAVITT ST,CHICAGO,IL,60612
2328468-20140702,2328468,KOKO'S GRILL LLC,BOB CHA,2300 S THROOP ST,CHICAGO,IL,60608
2314226-20140311,2314226,NEIGHBOR CAPITAL LLC,Neighbor Capital,152 E CHESTNUT ST,CHICAGO,IL,60611
2293616-20221016,2865156,FIFTY FOUR ELEVEN LLC,FIFTY FOUR ELEVEN,2850 N CLARK ST,CHICAGO,IL,60657
2293616-20181016,2619383,FIFTY FOUR ELEVEN LLC,FIFTY FOUR ELEVEN,2850 N CLARK ST,CHICAGO,IL,60657
2211633-20121229,2211633,JORGE MORTERO,ANDY ICE CREAM,2215 S KEDZIE AVE,CHICAGO,IL,60623
2211326-20130316,2226267,RAFAEL MAGALLON,RAFAEL MAGALLON,2215 S KEDZIE AVE,CHICAGO,IL,60623
2744206-20220216,2824966,BY THE HAND CLUB FOR KIDS,NXT FRESH FOOD POP-UP,423 N LARAMIE AVE,CHICAGO,IL,60644
2113684-20111007,2113684,WOW BAO LLC,WOW BAO,175 W JACKSON BLVD 1ST,CHICAGO,IL,60604
2252712-20200816,2775846,"LA AZTECA PALETERIA, INC.",LA AZTECA PALETERIA,3018 W CERMAK RD,CHICAGO,IL,60623
2256481-20130520,2256481,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2534912-20170629,2534912,DANIEL MARTINEZ GARCIA,AZTEKA & SON'S CATERING SERVICE,1204 W 36TH PL,CHICAGO,IL,60609
2252815-20160316,2443777,RAUL MARTINEZ,PALETERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2822461-20221122,2822461,EL CHIKITO TRUCK INC.,EL CHIKITO TRUCK,324 N LEAVITT ST,CHICAGO,IL,60612
